품번,품명,본인LG출고(25/01~)수량,본인최근출고,자동판정힌트,상위LG제품,상위매출수량,판정(독립/SUB 직접기입)
4848A20007P,Accumulator,0,,SUB유력(LG출고X),AJR65507705,1083.0,
5210A13011G,"Tube,Connector",0,,SUB유력(LG출고X),5211A19008C,15.0,
5210A13011H,"Tube,Connector",0,,SUB유력(LG출고X),5211A19008C,15.0,
5210A13011J,"Tube,Connector",0,,SUB유력(LG출고X),5211A19008C,15.0,
5210A13011K,"Tube,Connector",0,,SUB유력(LG출고X),5211A19008C,15.0,
5210A22271A,"Tube,Capillary Bending",0,,SUB유력(LG출고X),5211A20466D,55.0,
5210A22271B,"Tube,Capillary Bending",0,,SUB유력(LG출고X),5211A20466D,55.0,
5210A22271C,"Tube,Capillary Bending",0,,SUB유력(LG출고X),5211A20466D,55.0,
5210A22271D,"Tube,Capillary Bending",0,,SUB유력(LG출고X),5211A20466D,55.0,
5210A22271E,"Tube,Capillary Bending",0,,SUB유력(LG출고X),5211A20466D,55.0,
5210A22526A,"Tube,Capillary Bending",0,,SUB유력(LG출고X),5211A11023C,8.0,
5210A23936A,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936B,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936C,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936D,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936E,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936F,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936G,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936H,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A23936J,"Tube, Capillary Bending",0,,SUB유력(LG출고X),5211A10549A,5.0,
5210A30994B,"Tube,Connector",0,,SUB유력(LG출고X),5211A10305E,110.0,
5210A30994C,"Tube,Connector",0,,SUB유력(LG출고X),5211A10305E,110.0,
5210A30994D,"Tube,Connector",0,,SUB유력(LG출고X),5211A10305E,110.0,
5210A30994H,"TUBE, CONNECTOR",0,,SUB유력(LG출고X),5211A10305J,300.0,
5210A30994J,"TUBE, CONNECTOR",0,,SUB유력(LG출고X),5211A10305J,300.0,
5210A30994K,"TUBE, CONNECTOR",0,,SUB유력(LG출고X),5211A10305J,300.0,
5210A30998B,"Tube,Connector",0,,SUB유력(LG출고X),5211A10305E,110.0,
5210A30998C,"Tube,Connector",0,,SUB유력(LG출고X),5211A10305E,110.0,
5210A30998F,"TUBE, CONNECTOR",0,,SUB유력(LG출고X),5211A10305J,300.0,
5210A30998G,"TUBE, CONNECTOR",0,,SUB유력(LG출고X),5211A10305J,300.0,
5210AP3851A,"TUBE, MANIFOLD",0,,SUB유력(LG출고X),5211AP3868A,5.0,
5211A22074A,"Tube, Assembly, Connector",0,,SUB유력(LG출고X),AJR73767318,16.0,
5211A23363A,SUB ASSY,0,,SUB유력(LG출고X),5211A23366A,15.0,
5998A20002Q,"Separator, Oil",0,,SUB유력(LG출고X),AHQ73469301,6396.0,
5998A20004A,"Separator,Oil",0,,SUB유력(LG출고X),AJR73026401,3.0,
AAA36923606,Accessory Assembly,0,,SUB유력(LG출고X),PQ061503K03.AKOR,50.0,
AAA36923607,Accessory Assembly,0,,SUB유력(LG출고X),PQ060903E52.AKOR,835.0,
AAA36923608,Accessory Assembly,0,,SUB유력(LG출고X),PQ061508C11.AKOR,23507.0,
AAA36923611,Accessory Assembly,0,,SUB유력(LG출고X),PQ060905K02.AKOR,2975.0,
AAA68954002,Accessory Assembly,0,,SUB유력(LG출고X),PQ060907A11.AKOR,1480.0,
AAA71799405,"Accessory Assembly,Outdoor",0,,SUB유력(LG출고X),PVT-R780.AKM,219.0,
AAB35754002,Accumulator,0,,SUB유력(LG출고X),AGF30058403,10.0,
AET73671514,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ061503K03.AKOR,50.0,
AET73671516,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ060903E52.AKOR,835.0,
AET73671517,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ061503K11.AKOR,15130.0,
AET73671519,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ060903E11.AKOR,1350.0,
AET73671520,Install Part Assembly,0,,SUB유력(LG출고X),PQ061203K11.AKOR,77759.0,
AET73671521,"Install Part Assembly,Set",0,,SUB유력(LG출고X),PW061203K11.AKOR,140.0,
AET73671526,"Install Part Assembly,Set",0,,SUB유력(LG출고X),PQ060903E30.AKOR,63219.0,
AET73831438,Install Part Assembly Set,0,,SUB유력(LG출고X),PQ061508C11.AKOR,23507.0,
AET73831439,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ061208C11.AKOR,63824.0,
AET73831442,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ060907A11.AKOR,1480.0,
AET73831456,"Install Part Assembly,Set",0,,SUB유력(LG출고X),PQ060905K02.AKOR,2975.0,
AET73831467,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ060907A15.AKOR,25.0,
AET73831469,"Install Part Assembly,Set",0,,SUB유력(LG출고X),PQ060905R01.AKOR,157084.0,
AET73831473,"Install Part Assembly,Set",0,,SUB유력(LG출고X),PW060905R01.AKOR,6565.0,
AET73831475,"Install Part Assembly,Set",0,,SUB유력(LG출고X),PQ060907A30.AKOR,22254.0,
AET73831478,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ061208C41.AKOR,103010.0,
AET73831479,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ061508C41.AKOR,6315.0,
AET73831480,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ061208C14.AKOR,12328.0,
AET73831481,"Install Part Assembly, Set",0,,SUB유력(LG출고X),PQ060907A31.AKOR,2644.0,
AET73831482,"Install Part Assemblym, Set",0,,SUB유력(LG출고X),SH091505DA0.AKCXLHD,1045.0,
AFY73689501,AFY73689501,0,,SUB유력(LG출고X),AJR73786307,3.0,
AFY73689504,Muffler Assy,0,,SUB유력(LG출고X),AJJ75639409,2860.0,
AFY73689506,Muffler Assembly,0,,SUB유력(LG출고X),AJR75711901,232.0,
AFY73689511,MTS SUB,0,,SUB유력(LG출고X),AJR75744535,478.0,
AFY73689514,Muffler Assembly,0,,SUB유력(LG출고X),AJR75103117,5.0,
AGF30058504,"Package Assemble, C/CKD",0,,SUB유력(LG출고X),AGF30058404,1050.0,
AGF30058505,"Package Assembly,C/SKD",0,,SUB유력(LG출고X),AGF30058407,21680.0,
AGF30444701,"Package Assembly, C/SKD",0,,SUB유력(LG출고X),AGF30444802,19082.0,
AGF30444703,"Package Assembly, C/SKD",0,,SUB유력(LG출고X),AGF30444804,4217.0,
AGG00376901,"Packing Assembly, C/SKD",0,,SUB유력(LG출고X),AGF04106701,24289.0,
AGG00376902,"Packing Assembly, C/SKD",0,,SUB유력(LG출고X),AGF04106702,15885.0,
AGG00376903,"Packing Assembly, C/SKD",0,,SUB유력(LG출고X),AGF04106703,12056.0,
AGG00399402,"Packing Assembly,C/SKD",0,,SUB유력(LG출고X),AGF30024008,1327.0,
AGG00416301,"Packing Assembly,C/SKD",0,,SUB유력(LG출고X),AGF04226601,60.0,
AGG00416302,"Packing Assembly,C/SKD",0,,SUB유력(LG출고X),AGF04226602,60.0,
AGG00416303,"Packing Assembly, C/SKD",0,,SUB유력(LG출고X),AGF04226603,290.0,
AHQ72909201,"Separator Assembly,Oil",0,,SUB유력(LG출고X),AJR73026401,3.0,
AJC75119303,EASY LINK(Ø12.7),0,,SUB유력(LG출고X),AET30216903,5.0,
AJJ73040828,Supporter Assembly,0,,SUB유력(LG출고X),AJR76523005,7.0,
AJJ73898601,체결 SUB,0,,SUB유력(LG출고X),AJJ73898602,20.0,
AJJ73898619,AJJ73898619,0,,SUB유력(LG출고X),AJJ73898618,2.0,
AJJ73898628,Supporter Assembly,0,,SUB유력(LG출고X),AJJ73898629,5.0,
AJJ73898651,Supporter Assembly,0,,SUB유력(LG출고X),AJJ75838627,303.0,
AJJ74158907,AJJ74158907,0,,SUB유력(LG출고X),AJJ74758302,2.0,
AJJ75358411,체결 SUB,0,,SUB유력(LG출고X),AJR36618618,2.0,
AJJ75358416,Supporter Assembly,0,,SUB유력(LG출고X),AJR36618618,2.0,
AJJ75358439,Supporter Assembly,0,,SUB유력(LG출고X),AJR36618620,2758.0,
AJJ75358440,Supporter Assembly,0,,SUB유력(LG출고X),AJR36618620,2758.0,
AJJ75358442,Supporter Assembly,0,,SUB유력(LG출고X),AJR36618623,1991.0,
AJJ75358443,Supporter Assembly,0,,SUB유력(LG출고X),AJR36618623,1991.0,
AJR30000501,"Tube Assembly, Expansion",0,,SUB유력(LG출고X),AJR77224805,10167.0,
AJR30020101,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30019901,80.0,
AJR30051201,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR77224518,7583.0,
AJR30051202,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR77224516,2.0,
AJR30057201,STS Connector,0,,SUB유력(LG출고X),AEG74792502,5073.0,
AJR30057401,STS Connector,0,,SUB유력(LG출고X),AEG74792502,5073.0,
AJR30069701,Eva Out,0,,SUB유력(LG출고X),AJR30069601,327.0,
AJR30069801,Eva In,0,,SUB유력(LG출고X),AJR30069601,327.0,
AJR30080601,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR30105801,200.0,
AJR30080701,Tube Assembly,0,,SUB유력(LG출고X),AJR30105801,200.0,
AJR30122701,"Tube Assembly, Connector",0,,SUB유력(LG출고X),AJR30123401,9394.0,
AJR30123101,"Tube Assembly,Suction(Outdoor)",0,,SUB유력(LG출고X),AJR30123401,9394.0,
AJR30123201,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR30123401,9394.0,
AJR30125501,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR30125601,7179.0,
AJR30125502,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR30125601,7179.0,
AJR30125503,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR30125602,176.0,
AJR30125504,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR30125603,220.0,
AJR30125505,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR30125603,220.0,
AJR30133503,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30125601,7179.0,
AJR30133504,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30125603,220.0,
AJR30138401,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30138101,8.0,
AJR30138402,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30138103,19.0,
AJR30138403,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30138104,7.0,
AJR30138501,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30138101,8.0,
AJR30138502,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30138103,19.0,
AJR30138503,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR30138104,7.0,
AJR33295125,6.35*5m 접합관,0,,SUB유력(LG출고X),PQ061508C11.AKOR,23507.0,
AJR33295126,9.52*5m 접합관,0,,SUB유력(LG출고X),PQ060905K02.AKOR,2975.0,
AJR33295127,15.88*5m 접합관,0,,SUB유력(LG출고X),PQ061508C11.AKOR,23507.0,
AJR33295144,12.7*5m 접합관,0,,SUB유력(LG출고X),PQ061208C11.AKOR,63824.0,
AJR33295150,6.35*7.5m 접합관,0,,SUB유력(LG출고X),PQ060907A11.AKOR,1480.0,
AJR33295151,9.52*7.5m 접합관,0,,SUB유력(LG출고X),PQ060907A11.AKOR,1480.0,
AJR33295152,6.35*8m 코팅관,0,,SUB유력(LG출고X),PQ061208C41.AKOR,103010.0,
AJR33295153,12.7*8m 코팅관,0,,SUB유력(LG출고X),PQ061208C41.AKOR,103010.0,
AJR33295154,15.88*8m 코팅관,0,,SUB유력(LG출고X),PQ061508C41.AKOR,6315.0,
AJR36904201,AJR36904201,0,,SUB유력(LG출고X),AJR72937704,8.0,
AJR52737623,AJR52737623,0,,SUB유력(LG출고X),AJJ73898618,2.0,
AJR52737635,AJR52737635,0,,SUB유력(LG출고X),AJJ73898629,5.0,
AJR55829113,Tube Assembly,0,,SUB유력(LG출고X),AEG74589807,170.0,
AJR71429341,"Tube Assembly,Suction",0,,SUB유력(LG출고X),AJR76523012,120.0,
AJR72916202,Tube Assembly,0,,SUB유력(LG출고X),PVT-R780.AKM,219.0,
AJR72929201,프레스 밴딩 SUB,0,,SUB유력(LG출고X),AJR72928401,55.0,
AJR72929210,사내 SUB,0,,SUB유력(LG출고X),AJR73965702,10.0,
AJR72935101,AJR72935101,0,,SUB유력(LG출고X),AJJ72912201,2.0,
AJR72940102,15.88*3M 직관 (SUB),0,,SUB유력(LG출고X),PQ061503K03.AKOR,50.0,
AJR72940106,6.35*2M 직관 (SUB),0,,SUB유력(LG출고X),PQ061503K03.AKOR,50.0,
AJR72942901,"Tube Assembly,Connector",0,,SUB유력(LG출고X),AJR72937704,8.0,
AJR72950705,Tube Assembly Suction,0,,SUB유력(LG출고X),AJJ75639409,2860.0,
AJR73343201,사내 고압 SUB,0,,SUB유력(LG출고X),AJR55796808,112.0,
AJR73343303,사내 저압 SUB,0,,SUB유력(LG출고X),AJR55796808,112.0,
AJR73566520,Tube Assembly,0,,SUB유력(LG출고X),AJR74485504,10.0,
AJR73566525,Tube Assembly,0,,SUB유력(LG출고X),AJR74485504,10.0,
AJR73663104,AJR73663104,0,,SUB유력(LG출고X),AJJ74618301,75.0,
AJR73665401,판형 SUB,0,,SUB유력(LG출고X),ADM72950701,11.0,
AJR73724007,"Tube Assembly, Condense(In)",0,,SUB유력(LG출고X),ADM72950717,193.0,
AJR73724104,판형 SUB,0,,SUB유력(LG출고X),ADM72950717,193.0,
AJR73743901,판형 SUB,0,,SUB유력(LG출고X),ADM72950714,473.0,
AJR73743904,판형 SUB,0,,SUB유력(LG출고X),ADM72950717,193.0,
AJR73744406,"Tube Assembly,Condenser(In)",0,,SUB유력(LG출고X),ADM72950714,473.0,
AJR73744411,"Tube Assembly, Condenser(In)",0,,SUB유력(LG출고X),ADM72950717,193.0,
AJR73763001,AJR73763001,0,,SUB유력(LG출고X),AJR73982401,30.0,
AJR73782506,"Tube Assembly, Capillary",0,,SUB유력(LG출고X),AJR30105801,200.0,
AJR73803006,"Tube Assembly, Connector",0,,SUB유력(LG출고X),AET73631404,80.0,
AJR73909902,AJR73909902,0,,SUB유력(LG출고X),AJR73822515,2.0,
AJR73909903,AJR73909903,0,,SUB유력(LG출고X),AJR73944513,5.0,
AJR73942801,판형 SUB,0,,SUB유력(LG출고X),ADM72950714,473.0,
AJR73942804,판형 SUB,0,,SUB유력(LG출고X),ADM72950717,193.0,
AJR73943301,AJR73943301,0,,SUB유력(LG출고X),AJR73982401,30.0,
AJR73964702,AJR73964702,0,,SUB유력(LG출고X),AJR74125301,3.0,
AJR73968602,AJR73968602,0,,SUB유력(LG출고X),AJJ73898618,2.0,
AJR73968605,AJR73968605,0,,SUB유력(LG출고X),AJJ73898629,5.0,
AJR73973704,AJR73973704,0,,SUB유력(LG출고X),AJR73944513,5.0,
AJR73973706,"Tube Assembly, Discharge",0,,SUB유력(LG출고X),AJR75584501,5.0,
AJR73986701,Condenser Sub assy,0,,SUB유력(LG출고X),AJJ73898602,20.0,
AJR74229401,"Tube Assembly,Evaporator(Out)",0,,SUB유력(LG출고X),AJR74290701,1.0,
AJR74288601,Tube Assembly,0,,SUB유력(LG출고X),AJR74485504,10.0,
AJR74288602,Tube Assembly,0,,SUB유력(LG출고X),AJR74485504,10.0,
AJR74290001,"Tube Assembly,Evaporator(In)",0,,SUB유력(LG출고X),AJR74290701,1.0,
AJR74424621,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR76523012,120.0,
AJR74424632,"Tube Assembly, Reserve",0,,SUB유력(LG출고X),AJR76523027,10133.0,
AJR74444806,9.52*3.6m (양쪽확관),0,,SUB유력(LG출고X),AET73471408,3508.0,
AJR74444808,15.88*3.6m (양쪽확관),0,,SUB유력(LG출고X),AET73471408,3508.0,
AJR74522901,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR74524701,2646.0,
AJR74522902,AJR74522902,0,,SUB유력(LG출고X),AJR74524702,2.0,
AJR74523001,AJR74523001,0,,SUB유력(LG출고X),AJR74524702,2.0,
AJR74523003,AJR74523003,0,,SUB유력(LG출고X),AJR74524703,1930.0,
AJR74523006,AJR74523006,0,,SUB유력(LG출고X),AJR74524701,2646.0,
AJR74803501,Condenser Sub Assy,0,,SUB유력(LG출고X),AJJ73898612,15.0,
AJR74803505,AJR74803505,0,,SUB유력(LG출고X),AJJ74758302,2.0,
AJR74803516,사내 SUB,0,,SUB유력(LG출고X),AJR36618618,2.0,
AJR74803521,사내 SUB,0,,SUB유력(LG출고X),AJJ75358427,80.0,
AJR74803541,"Tube Assembly, Condenser",0,,SUB유력(LG출고X),AJR36618620,2758.0,
AJR74803543,"Tube Assembly, Condenser(Out)",0,,SUB유력(LG출고X),AJR36618623,1991.0,
AJR74803552,"Tube Assembly, Condenser",0,,SUB유력(LG출고X),AJJ75838626,14461.0,
AJR74803553,"Tube Assembly, Condenser",0,,SUB유력(LG출고X),AJJ75838627,303.0,
AJR74942617,"Tube Assy, Evaporator(In)",0,,SUB유력(LG출고X),AJR74942531,80.0,
AJR74942623,"Tube Assy, Evaporator(In)",0,,SUB유력(LG출고X),AJR75942501,30.0,
AJR74942626,"Tube Assy, Evaporator(In)",0,,SUB유력(LG출고X),AJR74942547,4184.0,
AJR74942627,"Tube Assy, Evaporator(In)",0,,SUB유력(LG출고X),AJR74942548,105.0,
AJR74942632,"Tube Assy, Evaporator(In)",0,,SUB유력(LG출고X),AJR75942502,120.0,
AJR74942709,"Tube Assy, Evaporator(Out)",0,,SUB유력(LG출고X),AJR75942501,30.0,
AJR74942724,"Tube Assy, Evaporator(Out)",0,,SUB유력(LG출고X),AJR74942531,80.0,
AJR74942729,"Tube Assembly, Evaporator",0,,SUB유력(LG출고X),AJR74942547,4184.0,
AJR74942730,"Tube Assy, Evaporator(Out)",0,,SUB유력(LG출고X),AJR74942548,105.0,
AJR74942735,저압부 SUB ASSY,0,,SUB유력(LG출고X),AJR75942504,97.0,
AJR74942754,"Tube Assembly,Evaporator(Out)",0,,SUB유력(LG출고X),AJR74942581,208.0,
AJR74944201,"Tube Assembly, Connector",0,,SUB유력(LG출고X),AJR73803002,115.0,
AJR75103205,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR75103117,5.0,
AJR75142605,"Tube Assembly,Manifold(Indoor)",0,,SUB유력(LG출고X),AJR75142606,611.0,
AJR75163205,"Tube Assembly,Manifold(Indoor)",0,,SUB유력(LG출고X),AJR75163206,1314.0,
AJR75222406,AJR75222406,0,,SUB유력(LG출고X),AJJ74758302,2.0,
AJR75242801,사내 고압 SUB,0,,SUB유력(LG출고X),AJR75243101,510.0,
AJR75242802,사내 고압 SUB,0,,SUB유력(LG출고X),AJR75243105,5329.0,
AJR75242815,고압 SUB,0,,SUB유력(LG출고X),AJR75243124,1002.0,
AJR75242816,고압 SUB,0,,SUB유력(LG출고X),AJR75243125,2589.0,
AJR75243001,AJR75243001,0,,SUB유력(LG출고X),AJR75243101,510.0,
AJR75243006,사내 저압 SUB,0,,SUB유력(LG출고X),AJR75243105,5329.0,
AJR75243014,사내 저압 SUB,0,,SUB유력(LG출고X),AJR75243118,2535.0,
AJR75243021,저압 SUB,0,,SUB유력(LG출고X),AJR75243125,2589.0,
AJR75262808,"Tube Assembly, Expansion",0,,SUB유력(LG출고X),AJJ73040829,6300.0,
AJR75484601,SUB ASSY,0,,SUB유력(LG출고X),AJR75463110,12.0,
AJR75484602,AJR75484602,0,,SUB유력(LG출고X),AJR75483401,705.0,
AJR75503602,"Tube Assembly, Expansion",0,,SUB유력(LG출고X),AJR75463110,12.0,
AJR75503610,"Tube Assembly, Expansion",0,,SUB유력(LG출고X),AJR75463110,12.0,
AJR75503701,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR75463101,1335.0,
AJR75503702,AJR75503702,0,,SUB유력(LG출고X),AJR75483401,705.0,
AJR75503704,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR75463110,12.0,
AJR75544501,SUB ASSY,0,,SUB유력(LG출고X),AJR75544201,2019.0,
AJR75544503,AJR75544503,0,,SUB유력(LG출고X),AJR75544204,50.0,
AJR75544505,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR76982501,357.0,
AJR75544601,AJR75544601,0,,SUB유력(LG출고X),AJR75544201,2019.0,
AJR75544604,AJR75544604,0,,SUB유력(LG출고X),AJR75544204,50.0,
AJR75544609,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR77224506,3.0,
AJR75662801,AJR75662801,0,,SUB유력(LG출고X),AJJ75178301,10.0,
AJR75687907,Tube Assembly,0,,SUB유력(LG출고X),AJR75802606,167.0,
AJR75722805,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR75710506,20.0,
AJR75744106,"Tube Assembly, Suciton",0,,SUB유력(LG출고X),AJJ75358404,5.0,
AJR75744119,AJR75744119,0,,SUB유력(LG출고X),AJJ75358401,300.0,
AJR75744142,"Tube Assembly,Suction(Outdoor)",0,,SUB유력(LG출고X),AJR36618623,1991.0,
AJR75744143,"Tube Assembly,Suction(Outdoor)",0,,SUB유력(LG출고X),AJJ75358444,43.0,
AJR75747604,고압부 SUB ASSY,0,,SUB유력(LG출고X),AJR75747504,40.0,
AJR75747704,저압부 SUB ASSY,0,,SUB유력(LG출고X),AJR75747504,40.0,
AJR75827805,"Tube Assembly,Expansion",0,,SUB유력(LG출고X),AJR75827603,10631.0,
AJR75827808,"Tube Assembly, Expansion",0,,SUB유력(LG출고X),AJR75827605,21594.0,
AJR75828001,"Tube Assembly,Manifold(Indoor)",0,,SUB유력(LG출고X),AJR75827603,10631.0,
AJR75842544,9.52*5m (롱너트양쪽확관),0,,SUB유력(LG출고X),SH091505DA0.AKCXLHD,1045.0,
AJR75842545,15.88*5m (롱너트양쪽확관),0,,SUB유력(LG출고X),SH091505DA0.AKCXLHD,1045.0,
AJR76322701,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR76322601,15.0,
AJR76322801,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR76322601,15.0,
AJR76442511,"Tube Assembly,Suction(Outdoor)",0,,SUB유력(LG출고X),AJJ75838622,10.0,
AJR76442512,"Tube Assembly, Suction",0,,SUB유력(LG출고X),AJJ75838627,303.0,
AJR76462612,판형 SUB,0,,SUB유력(LG출고X),ADM74930503,15.0,
AJR76462614,Tube Assembly,0,,SUB유력(LG출고X),ADM74930503,15.0,
AJR76462618,판형 SUB,0,,SUB유력(LG출고X),ADM73210510,22.0,
AJR76462619,Tube Assembly,0,,SUB유력(LG출고X),ADM74930506,4.0,
AJR76462620,판형 SUB,0,,SUB유력(LG출고X),ADM73210510,22.0,
AJR76462625,판형 SUB,0,,SUB유력(LG출고X),ADM74930507,17.0,
AJR76462626,판형 SUB,0,,SUB유력(LG출고X),ADM74930507,17.0,
AJR76462634,판형 SUB,0,,SUB유력(LG출고X),ADM73210515,610.0,
AJR76462635,Sub Assembly,0,,SUB유력(LG출고X),AJR76502612,130.0,
AJR76462708,ADM74930502 SUB,0,,SUB유력(LG출고X),ADM74930502,35.0,
AJR76462709,ADM74930502 SUB,0,,SUB유력(LG출고X),ADM74930502,35.0,
AJR76462710,ADM73210506 SUB,0,,SUB유력(LG출고X),ADM73210506,182.0,
AJR76462711,ADM73210506 SUB,0,,SUB유력(LG출고X),ADM73210506,182.0,
AJR76462717,Tube Assembly,0,,SUB유력(LG출고X),ADM74930503,15.0,
AJR76462718,Tube Assembly,0,,SUB유력(LG출고X),ADM74930503,15.0,
AJR76462721,판형 SUB(STS),0,,SUB유력(LG출고X),ADM73210510,22.0,
AJR76462722,판형 SUB(STS),0,,SUB유력(LG출고X),ADM73210510,22.0,
AJR76462725,판형 SUB,0,,SUB유력(LG출고X),ADM74930507,17.0,
AJR76462726,판형 SUB,0,,SUB유력(LG출고X),ADM74930507,17.0,
AJR76462735,판형 SUB,0,,SUB유력(LG출고X),ADM73210515,610.0,
AJR76463401J&I,"Tube Assembly,Condenser(In)",0,,SUB유력(LG출고X),AJR76463401,6.0,
AJR76483601,Tube Assembly,0,,SUB유력(LG출고X),AJR76483603,125.0,
AJR76483602,Tube Assembly,0,,SUB유력(LG출고X),AJR76483603,125.0,
AJR76545301,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR36618618,2.0,
AJR76545302,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR36618620,2758.0,
AJR76563202,판형 SUB,0,,SUB유력(LG출고X),ADM72950717,193.0,
AJR76563303,판형 SUB,0,,SUB유력(LG출고X),ADM72950717,193.0,
AJR76582901,고압부 SBU ASSY,0,,SUB유력(LG출고X),AJR76582801,111.0,
AJR76583001,저압부 SUB ASSY,0,,SUB유력(LG출고X),AJR76582801,111.0,
AJR76982401,"Tube Assembly,Solenoide",0,,SUB유력(LG출고X),AJR76982501,357.0,
AJR77188801,"Tube Assembly, Soleniod",0,,SUB유력(LG출고X),AJR77224501,525.0,
AJR77188802,지그9(AJR772245 시리즈 하위),0,,SUB유력(LG출고X),AJR77224502,147.0,
AJR77223001,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR77222901,3.0,
AJR77223002,"Tube Assembly,Reverse",0,,SUB유력(LG출고X),AJR77222906,5.0,
AJR77223101,"Tube Assembly,Discharge",0,,SUB유력(LG출고X),AJR77222901,3.0,
AJR77223105,"Tube Assembly,Discharge",0,,SUB유력(LG출고X),AJR77222905,51.0,
AJR77223201,"Tube Assembly,Suction",0,,SUB유력(LG출고X),AJR77222901,3.0,
AJR77223202,"Tube Assembly,Suction",0,,SUB유력(LG출고X),AJR77222906,5.0,
AJR77223204,"Tube Assembly,Suction",0,,SUB유력(LG출고X),AJR77222904,3.0,
ALB31554001,Tube Assembly,0,,SUB유력(LG출고X),ALB32062101,5.0,
ALB31554101,Tube Assembly,0,,SUB유력(LG출고X),ALB32062102,30.0,
CHA03202000112,"Tube,Capi",0,,SUB유력(LG출고X),AET73631404,80.0,
MAZ64571801,Bracket,0,,SUB유력(LG출고X),AJR30125601,7179.0,
MAZ64571802,Bracket,0,,SUB유력(LG출고X),AJR75544201,2019.0,
MJC62561701,STS 망 cap + 오링,0,,SUB유력(LG출고X),AJR75802606,167.0,
MJU00702404,"Tube, Connector",0,,SUB유력(LG출고X),AJR30007603,347.0,
